Localidade,IBGE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Lafaiete Coutinho,2918704,10361,10640,11591,12913,14316,13566,14144,14811,16055,16975,20883,21440,21482
Santa Tereza do Tocantins,1719004,4140,5870,6552,8295,8934,9617,10493,12023,13782,16743,20105,20305,21539
Lajedinho,2919009,8391,9590,10578,11122,15571,23357,25507,22511,19469,19528,21484,19818,21542
Pilões,2410009,4429,5418,7290,7492,8209,8968,11446,13200,15588,18197,19279,19954,21550
Tupiratins,1721307,2786,3341,4793,8591,8491,10464,11270,20169,29344,30625,28938,18606,21551
Massapê do Piauí,2206050,5834,6027,6878,8561,9242,10172,11598,13809,17401,17571,19791,21635,21557
Ruy Barbosa,2411106,5262,6288,7418,7889,9130,10418,11546,13508,14880,17095,17805,20449,21563
Triunfo Potiguar,2414456,5635,6192,9179,9255,9560,10967,12242,13355,13834,15450,17748,19344,21579
Bacurituba,2101350,5589,7735,8797,9356,10615,10807,12040,13542,15572,17817,18699,21305,21580
Aloândia,5200506,5866,8521,9430,9861,10378,11750,12731,13533,16110,17417,18581,20260,21586
Maurilândia do Tocantins,1712801,3927,5066,6204,8414,8963,10283,12160,15346,18752,17599,19204,20512,21592
Monte Formoso,3143153,5014,5752,7579,8749,9911,11061,12112,13684,16648,18455,19129,21157,21597
Baraúna,2501534,6363,5313,6949,8371,8618,9687,12614,13616,17351,16796,19044,21643,21617
Wenceslau Braz,3172202,5969,6433,7453,8239,9236,10197,11445,12135,14761,16242,17603,19315,21629
Nova América,5214705,5723,6593,8521,9663,10467,11612,12041,13960,15219,16354,20346,21597,21631
São Gonçalo do Rio Preto,3125507,5396,6183,7372,7991,8843,10127,11252,13199,15568,16896,18113,20039,21642
Lajeado Grande,4209458,8392,9142,10114,15183,18440,19559,17731,18531,26024,28381,21593,29183,21705
Eliseu Martins,2203602,5956,6534,7371,8670,9169,10993,11638,13037,16706,17761,19842,22150,21804
Pracinha,3540853,5274,5503,8031,8136,8062,8702,11425,13928,15647,17830,19854,21608,21819
Pedra Mole,2805000,4922,5535,7532,7678,8585,9443,10943,12141,16917,17175,20094,20858,21850
Moiporá,5213400,6625,7244,9343,11381,12013,12809,13953,15190,17436,17586,20761,20633,21945
Arantina,3103603,5728,6823,7370,8686,8963,10832,11425,12365,13719,15207,17263,19241,21948
Rochedo de Minas,3156205,6810,7362,8604,10265,11476,12463,11894,13054,16121,16411,17994,19040,22022
