Localidade,IBGE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
São João Batista,4216305,85854,93100,105187,137087,173371,205153,250726,282040,329048,344176,430068,494401,467840
Taquari,4321303,231669,225193,232867,276070,353802,313180,317934,326294,356810,370116,418393,423873,468794
Vera Cruz,4322707,127754,173127,219099,269590,298764,351255,352334,385395,361014,422951,436332,468613,469548
Nanuque,3144300,133541,149834,176642,195694,212762,231036,280109,299235,357733,364595,432497,433028,470329
Uruaçu,5221601,88426,99107,124720,155578,172126,204169,222204,272484,303855,350784,423802,440290,472660
Amambai,5000609,128193,157227,174747,226907,233928,217803,258249,304932,333884,355859,379388,422846,472751
Bom Jesus do Itabapoana,3300605,170510,183471,200354,234483,255566,262052,286243,305370,380274,388305,410114,446866,472874
Guaíra,4108809,130879,146294,184251,262681,254012,262126,250759,319290,358900,328099,413721,460310,474373
Cambuí,3110608,107964,141086,156893,182369,245901,200205,216655,257366,301443,328494,431704,432020,474855
Montividiu,5213756,123388,162703,285314,225152,224095,173921,130591,169480,259810,364930,335728,444310,474867
Catu,2907509,144535,215164,188129,212640,270251,313361,311597,282668,307753,406393,334578,422979,474888
Maracaí,3528809,134276,155292,276430,223992,268339,298934,274894,289197,365250,460151,429219,547816,475311
Piraju,3538808,149684,169458,199469,208706,226097,260400,276495,289820,300635,347474,406354,432211,475771
Nova Petrópolis,4313201,147638,162064,164678,186155,214092,235151,254623,283425,298218,346486,400634,435920,475955
Santo Antônio de Posse,3548005,120650,142560,167017,178661,199726,272994,385204,364505,349021,314091,387228,444510,476250
Nova Hartz,4313060,153485,164473,178419,186133,194073,207800,228571,251631,279207,332816,423997,493034,476326
Pitanga,4119608,120608,144642,181114,241509,247023,235293,256833,284945,345260,355858,379972,431507,476449
Ceará-Mirim,2402600,101972,119571,137359,160156,175232,207192,245799,277115,293321,351104,390635,433060,477325
Bocaiúva,3107307,129428,129660,155854,194241,226125,253571,288984,296208,347907,336696,410485,437484,477439
Itaí,3521804,102747,140866,181426,226224,249972,216563,257658,335517,340274,343342,405745,468585,477579
Ipiranga do Norte,5104526,0,0,0,0,0,147716,109522,190054,361794,343509,249237,378540,479152
Três Passos,4321907,180304,210974,256457,294537,271324,278270,296280,324476,321760,356951,380589,414685,480135
Castelo,3201407,142991,141625,142474,175165,221212,227364,266918,285684,298900,322149,382187,439505,481074
Goioerê,4108601,146093,159408,191805,240922,260564,234088,248835,284879,325985,321309,394468,433980,481501
Colíder,5103205,124752,152052,181340,180589,253598,230825,260569,292759,321631,338586,445886,456759,484157
Cascavel,2303501,164039,190095,229481,243108,323345,336435,303717,293693,372206,388752,444656,482728,484910
Tabaporã,5107941,25364,34050,44316,65955,124405,106002,108103,111499,211289,192773,173312,302009,485523
Iracemápolis,3521408,164837,178449,199972,358476,368538,400110,481406,436711,466926,520708,533140,517813,488853
Macatuba,3528007,191745,179229,275154,429451,381756,422500,675009,456075,516392,680644,770271,506339,489276
Tibagi,4127502,141596,149908,168978,293735,278505,256424,306960,335096,383651,324530,364846,427144,489953
Nerópolis,5214507,117511,118112,149621,172340,198819,213660,257745,258315,275682,338216,359982,409469,491550
Santa Gertrudes,3546702,111298,116214,141535,157830,189693,220256,256867,303846,334188,368887,414520,446371,491666
Bom Jesus da Lapa,2903904,118993,122048,185734,198648,209205,214807,251379,289738,327625,355713,420064,460898,492848
Santa Rosa de Viterbo,3547601,153629,170176,189967,249779,273562,344138,398466,356717,364604,425804,489966,454258,492980
Almeirim,1500503,332583,395991,573022,512750,494724,457309,424493,415443,486130,346796,429724,438792,494551
Mata de São João,2921005,127418,132790,212420,176880,197167,230569,272117,295225,295184,308076,353963,439825,494561
Araripina,2601102,132549,143516,154798,171545,184146,197405,235285,254399,313611,348441,415662,442291,495119
Timbaúba,2615300,143180,155967,160729,192074,215377,236702,280388,303103,337464,404724,448594,477569,495254
Juruti,1503903,35493,43231,52898,66308,68351,69827,85006,130584,210799,272600,564136,490871,495803
Nova Bassano,4312906,118073,126685,178055,197842,239900,258652,263840,316020,336801,362758,375362,406962,495885
Sobradinho,2930774,193760,109323,205526,250432,311382,281314,357758,493759,408108,341389,458137,493497,496782
São Pedro,3550407,148237,162224,183408,207213,219726,249203,280053,307880,305118,348320,407728,468157,497027
Tianguá,2313401,122598,133449,155832,198101,220880,241589,294709,301989,379095,375056,439844,522230,499292
Bom Jesus de Goiás,5203500,97152,110145,153615,210731,229129,206965,211417,238959,231585,283654,291042,369029,499646
Oliveira,3145604,125504,141575,168949,194321,223409,256420,278984,285576,315378,345894,401711,493542,500297
Serrana,3551504,259745,201768,265735,423723,420338,462829,497444,506213,597089,703047,790688,545305,502436
Porangatu,5218003,126067,141063,186935,215228,215781,234266,263805,293162,320645,332766,387219,432534,502468
Paranatinga,5106307,65006,81928,106592,127384,196717,170716,161613,209095,286953,382204,313662,426853,503613
Guapiaçu,3517505,202877,199718,372409,253150,276710,293299,310895,377896,463678,389884,368766,433879,504372
Barbalha,2301901,111605,130095,140808,143104,166838,183664,211920,237809,292083,353661,444660,498092,504630
Júlio de Castilhos,4311205,120341,146101,167540,275407,232227,177114,254381,317231,366166,394320,424255,536230,504649
Entre Rios,2910503,125890,112081,125699,140056,147235,202529,214905,222800,244721,250460,303408,399834,504889
Colina,3512001,155336,182312,187184,273907,224501,265081,357956,253589,326191,401794,413987,486802,504923
Prudentópolis,4120606,126824,140203,185598,240179,239421,244962,280475,300402,406627,412860,418396,446651,507019
Matias Barbosa,3140803,39597,44338,83891,163612,279874,248306,394960,446008,476241,499634,559795,451389,508048
Laranjal Paulista,3526407,153125,156526,195922,232489,241533,270169,265013,325059,370468,411035,462212,482570,508318
Pires do Rio,5217401,123473,140551,184527,234250,233736,246150,272075,280352,352015,356598,389735,442250,509473
Alto Horizonte,5200555,6979,8187,10630,12249,13457,16565,23566,322455,355232,411098,754293,464117,509834
Araçoiaba da Serra,3502903,88781,98698,112482,128291,138219,161064,185681,194147,217028,259749,303476,398948,510967
Ouro Fino,3146008,149642,172236,185104,188568,254488,275210,289766,243901,311780,344975,427027,517184,512608
Pinhalzinho,4212908,88330,101508,137937,161225,205203,192149,212793,257107,323420,397658,398905,503825,513261
Guabiruba,4206306,75986,85256,97972,112639,145478,172205,223069,268565,302356,361256,503186,549766,514220
Ouro Preto do Oeste,1100155,181024,179618,207167,252958,274436,305507,304604,337466,380141,406870,472402,493594,515057
Santa Vitória,3159803,79096,86161,103162,132559,144808,152723,147745,162610,215866,282399,394123,513960,515067
Ribas do Rio Pardo,5007109,152635,163424,176825,239899,289400,317139,331479,339867,402978,407917,471173,463220,515395
Aripuanã,5101407,82188,72840,80276,96256,129586,140585,163290,192465,235876,341894,291714,346913,515974
Palmeira dos Índios,2706307,153331,167064,191052,191598,223338,239958,263789,307711,336304,358734,414349,465129,516042
Santa Bárbara,3157203,117607,117430,124563,152643,204208,177370,199615,191002,214271,217821,247310,370445,516272
Mirassol d'Oeste,5105622,82738,87230,103867,136718,181749,214053,215678,240767,285175,302042,395175,475786,517545
Três de Maio,4321808,149999,166550,204870,255560,248725,251009,309864,378787,422322,420414,454025,466526,517902
Nova Alvorada do Sul,5006002,67448,99404,107985,149935,157144,143831,161813,188479,226730,239103,356396,403997,518361
Sarandi,4320107,142192,159403,188429,250007,262575,270543,300978,340380,366732,392409,460565,498916,519326
Ubiratã,4128005,125468,127325,172011,241260,218772,217369,218715,235767,303741,290535,349614,388583,519471
Palmas,4117602,170678,187585,235371,327609,396409,376950,366140,445186,403250,416084,460026,467535,520633
Urussanga,4219002,153967,168203,176461,193942,232893,267111,274953,321144,392445,412739,494474,548678,520968
Pinhão,4119301,293910,459214,449600,424620,517420,499972,371065,566119,486180,475110,542101,667837,521989
Pirapozinho,3539202,152851,193862,207764,226295,325475,336116,354177,302813,386690,393256,393388,470127,522051
Carmo do Paranaíba,3114303,131167,144213,172293,190414,218148,259917,267359,272215,338604,351732,460093,555493,522296
Grajaú,2104800,55780,64360,109362,98815,128926,155872,176641,195774,252242,277280,333729,459894,522874
Cantagalo,3301108,283654,264281,299414,303141,362429,299023,321734,363296,505143,540085,537283,478319,523602
Caçapava do Sul,4302808,174976,191736,216457,272665,317913,287914,294168,331730,363691,389421,460257,491208,528495
Aparecida,3502507,159730,168492,185639,202015,222011,255217,280855,326077,377749,392970,433117,480344,528523
Escada,2605202,141192,146904,159658,180127,193813,201425,222507,232956,285345,389807,475980,450196,528750
Torres,4321501,155359,172402,203637,230442,248143,275645,305107,337380,367461,389503,460398,485074,529618
Tremembé,3554805,155580,185332,213737,221814,220301,226042,245757,267373,313089,393297,394500,494128,530196
Três Coroas,4321709,181505,198047,198507,234288,270036,294520,297582,315951,336152,421510,531988,511860,531132
Bela Vista de Goiás,5203302,88897,96197,131094,189055,215937,249904,269705,273939,255229,330315,363795,428198,531420
Coxim,5003306,135175,153858,177515,210682,247710,264260,296397,314272,374857,408010,475789,499554,531500
Serrinha,2930501,109067,121138,149991,175694,202297,244250,267672,294855,325908,401125,484933,519797,531810
Cachoeira Dourada,5204250,130997,162118,220331,241640,281849,288672,321163,364354,380052,338615,415094,410215,532094
Cruz das Almas,2909802,125586,130647,196315,183124,203824,252408,280536,309954,343679,393058,448102,514138,532912
Guarabira,2506301,118092,131255,144377,167098,179034,200431,263766,300302,343224,384233,431240,490088,533276
Palmares,2610004,117125,132139,152662,161248,194337,220610,262207,304734,344642,405763,470979,500784,533529
Tramandaí,4321600,145743,161283,187146,218721,238707,276808,304993,337728,360344,394910,467230,488054,533648
Presidente Figueiredo,1303536,80172,90460,142743,195740,224037,314071,344782,316120,275560,304603,431774,444240,534005
Presidente Epitácio,3541307,184628,209163,236736,253883,279908,312904,330969,351672,360017,410353,448491,489462,534195
São Gotardo,3162104,143449,155616,176378,222412,255332,281178,278720,303692,343686,374087,431552,472274,534896
Canela,4304408,153930,169750,194419,221070,246524,274436,288805,314411,332359,370448,432162,462526,534916
Palmital,3535309,192503,187927,267141,296618,348864,286858,291921,326379,360692,406468,468680,525827,535288
União dos Palmares,2709301,133435,145485,166522,199548,200546,218052,244244,278586,338625,401097,378141,484169,535734
Tapurah,5108006,103450,143617,220807,327223,491102,202163,144197,228304,331326,321547,286033,448497,536172
Rio Grande da Serra,3544103,142047,139233,140816,166440,221016,246041,290104,307455,351903,421569,487129,528225,536974
Xaxim,4219705,220072,272536,295991,228180,320861,343655,365487,470844,530300,538899,549543,666872,540638
São Lourenço,3163706,150747,172824,190197,215937,240519,257473,289902,319400,351138,374345,440941,489236,541657
São Fidélis,3304805,163765,170028,187718,206366,272196,256465,272608,304921,395223,401300,398683,450892,542097
Novo Gama,5215231,127153,139356,150803,170047,200771,228546,254883,277676,315163,352757,432307,507605,542303
Rio Pardo,4315701,174784,226966,239265,286115,299633,285871,345597,349586,428794,474784,527090,551409,544936
Camocim,2302602,86931,96711,123258,146151,177540,184258,198489,213420,239877,267008,411864,405222,546072
Barra do Corda,2101608,108413,120945,139756,152177,180797,220821,250231,358154,433404,392607,493957,563801,547570
Vassouras,3306206,185278,203613,197367,221913,236307,246892,267606,285723,321224,354560,407809,463993,547710
Guariba,3518602,233337,315851,381570,260180,290583,385138,301690,362360,423844,502870,579236,606854,548070
Brasnorte,5101902,81490,90566,138091,188963,309222,243652,189961,282261,412212,399593,323188,414409,548605
Esplanada,2910602,96697,118076,232269,154206,177345,242030,306018,342629,442804,301795,364136,500203,549078
Engenheiro Paulo de Frontin,3301801,63375,62956,68323,82459,83445,83408,96025,101273,100450,138675,147801,151432,549456
Jaciara,5104807,132086,139756,184936,243154,268877,309853,313497,318174,371208,382975,401790,479663,550412
Mandaguari,4114203,145275,151291,164822,204212,246555,282514,333586,348278,388857,427527,464098,506384,550709
Paracambi,3303609,180834,195423,228067,247023,265235,277237,296938,321706,343895,398414,499958,529594,550832
Sarzedo,3165537,62338,64906,102803,109990,103341,118118,135712,187382,220277,234762,370152,511082,552389
Belo Oriente,3106309,318968,282130,371451,410001,452759,441156,449817,514441,531369,453967,642060,542950,555073
Ariranha,3503703,132874,150122,224586,322785,224926,423277,663947,513381,546262,757854,931706,583572,556527
Tefé,1304203,117614,114508,167746,129452,134507,223772,285422,305611,268935,293741,379483,623732,556739
Santos Dumont,3160702,221922,217640,273344,295596,354363,389640,413938,441196,470053,493679,513805,538551,557653
Américo Brasiliense,3501707,136148,191043,289808,373866,267755,358448,377550,410872,466262,578843,684459,677808,557896
São Miguel Arcanjo,3550209,133069,174174,181145,216970,228251,260166,281371,332239,319964,371055,462007,546285,560005
Senhor do Bonfim,2930105,133110,147306,185821,216655,234448,277389,283398,336096,382698,443285,500712,537331,560634
Presidente Venceslau,3541505,173429,186619,225087,240079,260776,295412,315193,343626,382749,432357,462308,496056,560952
Guapimirim,3301850,183682,196082,212458,245341,279575,289400,316087,345563,385699,414292,492336,511973,561400
Barra de São Francisco,3200904,121876,122602,135387,172087,214983,252520,282734,322021,334036,395183,432800,462955,562331
Bataguassu,5001904,84213,111716,136554,198507,299229,270618,300168,292289,305926,357619,488308,525525,562759
Socorro,3552106,148551,172271,200277,218456,220025,246853,270713,298097,333906,400543,478797,539134,565312
Maravilha,4210506,127618,138979,168106,212509,239186,241784,262269,310991,394966,400306,404504,461858,565502
Açu,2400208,126684,140811,163353,162294,182961,220071,247557,276988,312296,316573,401998,500330,566258
Santa Vitória do Palmar,4317301,178227,205320,215178,280033,339745,289432,284851,301248,411650,440861,533266,510692,566446
Forquilhinha,4205456,312671,298687,211668,267276,363150,365359,354607,406747,527592,525018,599656,609549,566501
Mangueirinha,4114401,328664,440363,458000,452431,541151,524073,393603,598092,483985,469715,561597,624550,567978
Barra do Bugres,5101704,129423,142681,182252,220169,229051,249678,316734,372264,381755,417111,481374,531424,568393
Angatuba,3502200,117214,131739,138213,172765,208519,207126,217549,255136,291988,370611,512905,543925,569169
Barra Velha,4202107,61371,72607,84768,118916,160920,209934,230583,256253,278237,322520,374489,434832,569899
Lagoa Vermelha,4311304,160189,167960,211769,256609,262449,251565,314405,357009,399538,416425,500025,532539,570812
Monte Aprazível,3531407,95618,108763,186174,209814,296253,277939,356322,339457,421883,439796,553609,559813,570826
Planaltina,5217609,123679,141678,157029,185372,215634,237384,256542,293962,341199,376485,440380,506184,571108
Capanema,1502202,127879,159532,173981,183374,203281,226504,266793,308540,356724,410622,501913,513709,571598
Encantado,4306809,183543,204076,245699,261558,264106,274734,296791,338129,367478,415933,489770,506108,571710
Aquidauana,5001102,141903,169610,186395,212784,247052,283052,318603,377222,399009,453460,531518,529257,572482
Laguna,4209409,166441,184978,205684,238625,258406,290455,338027,363933,409666,442892,529627,560945,573460
Fraiburgo,4205506,262045,257060,287144,319111,347294,388071,489440,462272,483956,506027,508800,547718,574867
Quedas do Iguaçu,4120903,124709,119615,149239,187560,216247,190085,205002,225966,443986,477959,575394,625109,575526
Dois Córregos,3514106,159348,212000,227351,228018,226405,258594,293412,320863,317742,363977,483588,606147,575552
Tupanciretã,4322202,144731,199392,233047,442751,319664,226894,348160,462345,569946,559760,519084,644543,575999
Buritis,3109303,97169,88889,140193,184609,226175,237829,199881,215890,359099,429155,378229,529624,577765
Arcoverde,2601201,129486,149231,164360,176419,197942,229071,259912,290800,327535,361488,417812,488245,580253
Bragança,1501709,117561,141665,164615,189877,216163,232518,273712,316689,347312,383575,453075,513256,580492
Itamaraju,2915601,154279,167420,215789,241101,262841,282683,299375,356391,454124,513555,507505,554007,581488
Santa Inês,2109908,125291,138342,160132,191235,219949,238209,279813,309553,348071,422008,448508,507558,583362
São Lourenço do Oeste,4216909,135471,164202,216318,275756,302550,325785,358707,399592,468430,515016,514480,580771,583739
Osvaldo Cruz,3534609,192826,194990,213954,284340,239245,271024,304814,297213,310348,411088,433077,515173,584131
Água Boa,5100201,87873,95269,125263,182298,269280,230597,227348,248325,354209,368111,418945,505083,584465
Jaguarari,2917706,71599,89156,113459,170425,280282,211337,332889,237355,244461,275170,389083,460958,584748
São Sebastião do Passé,2929503,72652,99147,123565,156829,179132,223340,274609,291585,341572,327042,398117,512155,584763
São Luiz Gonzaga,4318903,174848,210799,234461,314389,267475,271021,322495,414855,455057,449376,548196,579702,585533
Nova Ponte,3145000,175609,153977,173514,270493,247836,348288,382900,467171,518255,493146,489460,538725,588891
Palmeira,4117701,172841,174919,209661,293879,312651,296910,299362,340296,411122,403917,483833,531288,588976
São Cristóvão,2806701,139135,162644,191365,214949,251090,275501,315919,346181,407459,428903,500975,556939,590069
Jaguariaíva,4112009,229663,247457,316412,413083,451012,428969,512783,549277,507658,527529,564429,564095,590943
Rio Branco do Sul,4122206,243016,265058,297490,360694,388458,377398,389760,454972,467218,550482,579414,589123,591055
Ibiraci,3129707,189439,147396,166982,220979,313371,340417,384758,375179,451436,388550,476410,517597,593251
Pereira Barreto,3537404,206055,174589,249239,250700,255492,282917,315942,353275,470952,684228,728058,717055,594504
Rosário do Sul,4316402,168122,201186,227989,269265,302615,283074,314167,365672,484611,527045,595158,676490,595958
Jarinu,3525201,89984,108190,119206,178503,165071,205814,241270,255824,336919,399129,426816,544448,596989
Cajazeiras,2503704,147505,161616,163999,203900,224386,227714,300007,369493,399841,427024,461777,532280,597768
Barra Bonita,3505302,425605,392113,408863,365405,447641,522519,481803,548351,538470,720029,810222,819022,598330
Andradas,3102605,181603,184917,214823,238822,285660,282398,330243,323974,410289,411980,489235,558890,599313
Pacajus,2309607,246574,255725,281898,303443,363507,357708,365922,377442,416828,460832,509009,595962,599849
Prata,3152808,114249,124005,150679,215821,231455,265314,257741,305820,358820,429043,511391,567139,600012
Itaporanga d'Ajuda,2803203,73080,118978,143765,180162,223113,226228,279687,339552,451561,413798,447952,598453,600483
Orleans,4211702,158645,173476,189081,227029,258375,292789,312869,335780,399701,441769,524174,607144,600573
Aguaí,3500303,194620,267226,265758,300904,445295,413441,541218,690820,576467,476558,609824,675567,601304
Vargem Grande do Sul,3556404,200510,196031,217751,257732,248573,280416,314571,358468,363943,435706,488619,524338,601435
Rio Largo,2707701,189463,230451,248360,211950,239433,304130,263472,287296,333729,364414,437912,526870,603644
Mongaguá,3531100,173401,184866,205455,229564,243598,280866,310149,339276,359148,447228,501320,549721,603796
Várzea da Palma,3170800,212779,228113,268312,347461,467082,478891,500174,512575,610996,488945,568200,621796,603919
Aparecida do Taboado,5001003,107963,106825,122436,140264,171475,181591,272614,287227,328395,349396,451619,514222,607307
Santo Antônio da Platina,4124103,136394,135409,179892,218652,239404,270297,310244,337186,351765,427291,486225,540188,607974
Ivoti,4310801,276909,228225,235296,258667,342774,301049,295256,312025,358624,372698,448892,455036,610471
Elias Fausto,3514908,156854,163032,262996,292936,342159,328458,413246,419895,422153,528157,727635,652904,616976
Curitibanos,4204806,209252,234200,264835,314185,360371,382182,448353,431267,499543,542247,589850,589743,618793
Japaratuba,2803302,61615,102482,116525,146536,181929,253381,330066,313365,383094,261847,344262,492819,619527
São Miguel do Iguaçu,4125704,163259,179862,225247,304320,294453,303364,304553,388447,387226,452774,529450,575879,620157
Carmópolis,2801504,37645,75137,97444,137505,157588,207892,293480,334436,398268,283920,399983,543266,620407
Irecê,2914604,127247,135599,186754,215810,242911,277417,292152,315567,365098,419927,494071,568510,620466
Braço do Norte,4202800,171096,193279,242966,265526,345102,338360,332070,365515,433965,503135,590754,602065,620789
Ourilândia do Norte,1505437,37980,51422,50836,58779,62744,69578,86493,135916,234720,217923,253837,615906,621700
Igarapé,3130101,74447,83645,91572,115247,139425,162244,186762,211189,289043,264938,448021,684913,621806
Quixadá,2311306,140944,154472,169405,195914,210647,235316,262607,284369,361839,449811,547604,601435,622866
Gravatá,2606408,123936,144519,170076,194394,210421,239947,276069,305685,343613,383931,474821,565163,625893
Xinguara,1508407,116743,202976,176920,236625,255098,289466,375595,407508,362742,422445,475189,575882,625907
Salgueiro,2612208,108330,117955,139124,144096,152680,186085,204498,235621,275114,317388,445562,560606,626379
Pradópolis,3540903,218450,222619,223738,533985,533552,674741,966960,616179,330131,574398,639760,826991,626555
Jaguaré,3203056,138650,183809,188312,180811,296735,362441,444004,479147,445777,333436,395934,563617,628843
Campo Belo,3111200,180458,193368,227081,259655,298859,321211,368649,385503,423005,404186,494949,581143,628843
Pitangueiras,3539509,196803,221823,270166,292622,259826,318072,355596,379570,372635,438084,563564,649421,628878
Inhumas,5210000,166718,173601,209491,249605,292286,288578,348087,346752,396703,452664,492726,547118,632186
Miracema do Tocantins,1713205,128563,232577,241383,314060,334820,351846,296852,414799,526073,558255,594372,601558,633916
Capinzal,4203907,281889,374072,392792,427014,487160,469494,441207,510518,582856,579304,503306,604422,633961
Frederico Westphalen,4308508,152377,167119,218608,250952,273997,297302,344640,390344,507893,506852,569025,626418,634129
Russas,2311801,132363,144203,176751,213110,261185,290900,346242,377099,435379,438673,553473,605176,634363
Cajati,3509254,195757,205888,258446,331899,334782,306873,330881,340143,422722,472768,522754,535255,634437
Salto de Pirapora,3545308,231406,262524,282989,339436,355836,315805,363456,398403,411197,479230,554638,575178,636396
Holambra,3519055,226043,216604,275984,313197,348502,334859,386383,452286,437799,504309,515295,574621,636897
Araquari,4201307,93560,102262,100337,144378,155271,185611,226957,230588,297149,329168,474921,576996,637726
Bastos,3505807,114469,118426,141005,185865,213275,215173,211618,270919,301961,322356,362611,540953,639953
Adamantina,3500105,180693,232527,261797,305404,310493,349500,417287,423727,444791,531900,558318,588873,641664
Juína,5105150,120761,145657,184170,214416,258862,329187,349311,409892,431228,450753,503523,600266,644334
Rio Negro,4122305,250303,254832,255985,299860,370030,384703,424431,443733,559664,571869,591135,595227,645702
Palmeiras de Goiás,5215702,68957,93412,95011,126378,159534,202496,290613,326700,358997,426401,496120,529386,645817
Casa Branca,3510807,172767,325949,326573,313065,340457,332738,465321,559087,496033,566629,530099,630568,646725
Cravinhos,3513108,160131,170226,193768,226047,230594,270131,352999,327442,396496,425261,521484,571518,646842
Pontes e Lacerda,5106752,156293,179905,238354,223847,258625,301281,332359,382307,464524,524261,528440,598289,647693
Tapejara,4320909,104999,118643,149263,216841,253230,251271,287637,358862,388077,469824,542622,578482,648893
Leopoldina,3138401,201119,212095,240612,272497,321472,359829,388043,415882,462060,514094,567743,601848,649363
Uruçuí,2211209,46906,51972,50626,92769,137936,146608,356555,292282,434061,562273,443205,602337,650724
Pacatuba,2309706,133323,159459,175404,180366,212326,214620,362835,364692,457229,476587,562762,640022,650910
Pompéia,3540002,171154,191337,237888,345362,376231,301292,312365,343353,423936,465414,516274,565862,651716
Capão da Canoa,4304630,156593,178763,196399,239716,273900,311061,344855,389416,415276,460366,560934,600079,654053
Santo Antônio de Pádua,3304706,198975,218569,233227,257114,281654,316723,345046,365546,461126,493270,541935,584641,655036
Canarana,5102702,94795,108088,160281,185791,285853,242516,212011,253578,370204,327614,367061,529615,655301
Cândido Mota,3510005,221970,223788,321265,349326,367644,326474,342749,399390,431883,442458,499462,571469,655368
Floriano,2203909,144459,140958,166114,176731,224833,255167,292996,383677,392569,429915,542680,594101,656458
Janaúba,3135100,148984,178680,209521,224266,249920,283257,374689,429632,519517,513386,524951,603038,656528
Coromandel,3119302,151201,162472,190465,229279,265376,279197,297057,378508,465931,481123,551794,620231,656966
Santiago,4317400,207054,231690,259419,299344,323611,340639,378026,427807,468918,494366,597583,637248,657272
Areia Branca,2401107,213655,195129,264004,268044,306401,419662,474640,420907,486506,352406,455554,589689,659169
Cocal do Sul,4204251,135913,140282,150903,180744,213173,217465,237227,238259,285184,312716,429084,436128,659967
Itararé,3523206,221228,248351,308383,353130,370151,412304,456864,486714,522333,550914,589542,624086,662600
Nova Ubiratã,5106240,88262,61321,135236,176065,362736,216439,158869,267265,443830,440994,307076,542625,662985
Perdizes,3149804,101595,132389,168798,226321,281563,279172,212013,283511,427311,430879,443886,646425,666522
São Lourenço do Sul,4318804,176570,212310,236184,277867,326972,321683,359931,404711,466227,530803,546067,586838,668993
Arapoti,4101606,261980,285183,323826,378375,404475,390788,494097,533891,530570,520234,563756,607630,671019
Juara,5105101,105000,121685,155034,183265,233535,258467,275017,294409,347111,638782,705092,822931,672567
Bariri,3505203,165268,206823,241899,267922,290992,335213,387993,373558,366067,512053,588619,701651,672789
Não-Me-Toque,4312658,143938,186366,216613,302750,323006,243186,272337,358906,409485,419600,524778,617805,673270
Jardinópolis,3525102,188848,215075,256183,286353,269448,314400,352978,358890,397843,487732,539019,596895,673339
Artur Nogueira,3503802,201227,244162,259862,234989,253383,302954,381550,413264,434225,485145,540939,648476,673374
Itaberaí,5210406,109208,125011,185674,223322,240883,248132,270731,310021,391901,504576,593094,598042,674087
Portão,4314803,337248,437806,499375,515618,624781,525380,507707,566103,542027,629700,715158,719681,674556
Parintins,1303403,144733,141577,201003,212311,230214,278770,352951,348530,402195,460768,689670,667841,675333
Ouroeste,3534757,301420,169214,233605,277989,335755,405565,435952,459957,445580,565066,656520,655012,675606
Pontal,3540200,215652,225184,292547,352054,381631,408109,527260,438464,467048,581414,623639,725961,675733
São José de Ribamar,2111201,134434,149096,167210,197994,232069,262444,311187,365003,421446,473643,538302,601066,676030
Sousa,2516201,144734,152921,174873,195144,227623,232783,285489,333016,466983,527810,585175,629711,676600
Luís Antônio,3527603,391015,445418,487204,505874,516572,528964,368069,564793,484833,613359,662878,644116,678506
Bacabal,2101202,136218,163995,195045,226460,262215,318863,366148,368638,454572,506129,522174,596448,680476
Canguçu,4304507,178925,219420,249855,322603,346178,355850,401187,463055,473541,548556,597658,626391,680884
Ibiá,3129509,194726,229815,229883,323386,359898,427707,403045,398064,562453,561985,593401,689688,681525
Boa Esperança,3107109,172180,187301,200873,230377,291442,273833,342935,360650,416823,427112,505526,629542,681928
Nova Venécia,3203908,211609,218096,229950,254619,277704,299515,360808,436054,470284,469582,550086,609288,683551
Pimenta Bueno,1100189,143166,156831,184053,221883,260480,305719,298678,328920,424911,513645,688400,810005,683814
Paraíso do Tocantins,1716109,125224,151565,192252,291697,327150,355554,358268,422206,421103,495760,583422,640435,686936
Marialva,4114807,145100,161761,204366,222829,248061,247974,297419,331101,376361,430204,492275,625600,689345
Santo Antônio da Patrulha,4317608,167003,187299,223591,265347,286524,299255,320320,368831,449566,495245,592656,603034,691125
Palmeira das Missões,4313706,228294,257268,280649,448181,399590,263770,352834,494855,515566,596141,649424,761284,691293
Conceição do Jacuípe,2908507,79101,91761,112259,139920,132883,155135,172625,240530,338819,435383,534603,598015,692833
Capão Bonito,3510203,192203,222998,255049,283919,315135,327010,358345,414896,488693,581453,630215,616825,693844
Sacramento,3156908,165891,188675,209697,270279,306498,318482,347349,392760,568534,528996,590564,653168,694241
Visconde do Rio Branco,3172004,166199,187268,230357,274224,327871,355547,375601,406377,469946,501813,578445,650027,695601
Jacarezinho,4111803,234673,243824,267954,325286,346305,366211,387771,389987,405071,498427,574508,600406,696946
Caicó,2402006,153052,172532,214828,217969,249552,282708,334190,376787,396940,484550,545390,594492,697627
Guanambi,2911709,178844,171674,221106,244166,260223,312073,343457,396948,467822,496797,583376,662889,698145
Campos do Jordão,3509700,253698,278598,303960,347953,368077,403112,444491,463532,492138,546451,612201,661084,700274
Santa Fé do Sul,3546603,195480,201826,245068,294287,297146,315812,356097,406968,458726,559703,610359,658898,703582
Correntina,2909307,128319,146112,174061,230733,393632,369600,254550,361720,498524,640906,584806,786233,705516
Assis Chateaubriand,4102000,195918,238100,288210,384476,370138,352068,353381,441220,500687,436726,600760,642895,705850
Campina Grande do Sul,4104006,124665,140429,180667,209534,240508,294233,342407,342319,400033,473918,591900,679353,706426
Bom Despacho,3107406,188288,198458,237082,293620,356546,401952,414550,442264,514413,502507,603514,637227,707135
Cafelândia,4103453,106681,125528,183987,266819,296031,246037,278261,323061,377959,439112,506824,602302,708255
