Observatório do Plano Nacional de Educação

Produto Interno Bruto (PIB);
PIB;
Localidade;Código IBGE;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;
Manoel Urbano;1200344;15894,0;25568,0;22484,0;28392,0;29742,0;31316,0;35555,0;43620,0;60235,0;61497,0;67565,0;72622,0;82728,0;;;;
Marechal Thaumaturgo;1200351;17387,0;21732,0;24700,0;28162,0;34292,0;37700,0;49180,0;67806,0;80375,0;109224,0;113502,0;112352,0;133640,0;;;;
Plácido de Castro;1200385;56966,0;60311,0;67111,0;79171,0;105229,0;139910,0;114376,0;149337,0;179804,0;204473,0;200283,0;237056,0;278117,0;;;;
Porto Walter;1200393;12369,0;15279,0;16913,0;19859,0;22874,0;25962,0;32316,0;41386,0;51112,0;64458,0;86872,0;76289,0;82442,0;;;;
Rio Branco;1200401;1180524,0;1313381,0;1561793,0;1740716,0;2127862,0;2369239,0;2601183,0;3040676,0;3547942,0;3836559,0;4309607,0;4491134,0;4946632,0;;;;
Rodrigues Alves;1200427;22498,0;26734,0;29476,0;35748,0;43658,0;51524,0;61313,0;75098,0;87289,0;153208,0;234801,0;174166,0;133626,0;;;;
Santa Rosa do Purus;1200435;5781,0;6643,0;7966,0;10746,0;12427,0;15350,0;17568,0;22747,0;27814,0;28106,0;35765,0;36242,0;37980,0;;;;
Senador Guiomard;1200450;64496,0;83301,0;89483,0;103898,0;124036,0;137315,0;171324,0;216490,0;209480,0;216977,0;247921,0;266689,0;303679,0;;;;
Sena Madureira;1200500;112580,0;149075,0;192048,0;229010,0;198430,0;234644,0;215528,0;255686,0;346590,0;371659,0;393670,0;358193,0;427464,0;;;;
Tarauacá;1200609;75491,0;79334,0;90497,0;103136,0;125328,0;164424,0;162089,0;198074,0;237843,0;258591,0;291196,0;324159,0;333365,0;;;;
Xapuri;1200708;42904,0;52436,0;50885,0;70705,0;78715,0;82483,0;91952,0;110504,0;130035,0;150313,0;176927,0;200871,0;196372,0;;;;
Porto Acre;1200807;43494,0;45980,0;55388,0;67229,0;75286,0;72783,0;95212,0;122463,0;142897,0;160378,0;150780,0;163912,0;196942,0;;;;
Alvarães;1300029;32307,0;31217,0;58596,0;56520,0;54113,0;43395,0;51451,0;52839,0;49203,0;53534,0;63997,0;79146,0;81845,0;;;;
Amaturá;1300060;10657,0;11437,0;16705,0;18262,0;20336,0;22005,0;27827,0;30288,0;31731,0;34528,0;43639,0;50321,0;53695,0;;;;
Anamã;1300086;11000,0;11081,0;15819,0;16979,0;21216,0;18159,0;25196,0;29636,0;46734,0;41757,0;51519,0;56851,0;54024,0;;;;
Anori;1300102;15531,0;16917,0;21983,0;24295,0;27332,0;29947,0;41929,0;45854,0;68852,0;74492,0;74748,0;89826,0;89151,0;;;;
Apuí;1300144;24249,0;27067,0;41405,0;61086,0;70303,0;99679,0;135787,0;83354,0;149620,0;147022,0;161680,0;160318,0;169795,0;;;;
Atalaia do Norte;1300201;17534,0;18841,0;20346,0;23070,0;25523,0;27921,0;39235,0;44475,0;50334,0;54641,0;66960,0;74360,0;78385,0;;;;
Autazes;1300300;43058,0;58465,0;82621,0;89230,0;76878,0;102429,0;129500,0;135724,0;111529,0;136301,0;201729,0;210867,0;206079,0;;;;
Barcelos;1300409;35110,0;35422,0;65805,0;56193,0;60398,0;66453,0;67143,0;64886,0;76680,0;77728,0;102778,0;111882,0;114164,0;;;;
Barreirinha;1300508;33387,0;34921,0;50898,0;53838,0;59800,0;65510,0;83280,0;98016,0;92479,0;101314,0;122388,0;129457,0;140539,0;;;;
Benjamin Constant;1300607;37588,0;40404,0;67707,0;73412,0;78148,0;77286,0;102221,0;109839,0;107566,0;116825,0;146990,0;176244,0;166435,0;;;;
Beruri;1300631;17892,0;18365,0;26200,0;28655,0;33715,0;33853,0;42711,0;46958,0;50868,0;78565,0;91696,0;96963,0;88255,0;;;;
Boa Vista do Ramos;1300680;16221,0;15652,0;23752,0;23826,0;26002,0;35868,0;44203,0;48297,0;47702,0;53789,0;62329,0;76905,0;81332,0;;;;
Boca do Acre;1300706;47938,0;57025,0;92563,0;110233,0;105759,0;147568,0;168350,0;166068,0;155600,0;149812,0;177661,0;196045,0;204650,0;;;;
Borba;1300805;38443,0;49237,0;55821,0;63737,0;69404,0;77220,0;98306,0;101098,0;107849,0;120070,0;174031,0;196567,0;198805,0;;;;
Caapiranga;1300839;12747,0;13413,0;18538,0;19938,0;22415,0;31106,0;39169,0;45329,0;42555,0;45998,0;61309,0;66923,0;66414,0;;;;
Canutama;1300904;17359,0;18682,0;26974,0;27020,0;29380,0;27714,0;41938,0;57488,0;45875,0;49905,0;62069,0;68161,0;71727,0;;;;
Carauari;1301001;38145,0;43222,0;61216,0;57530,0;60772,0;71173,0;88524,0;93076,0;116295,0;121003,0;124510,0;152260,0;133114,0;;;;
Careiro;1301100;40745,0;58442,0;102813,0;105944,0;86169,0;84055,0;106793,0;124156,0;109223,0;117780,0;164986,0;173760,0;176011,0;;;;
Careiro da Várzea;1301159;32952,0;37531,0;54185,0;57371,0;59383,0;70113,0;97324,0;104494,0;100436,0;112158,0;172574,0;171145,0;169328,0;;;;
Coari;1301209;385620,0;390350,0;512615,0;594342,0;730480,0;938591,0;1222446,0;1113360,0;1538300,0;1103216,0;1386568,0;2251483,0;2592501,0;;;;
Codajás;1301308;24958,0;29639,0;37633,0;40974,0;46082,0;47629,0;60451,0;66369,0;87021,0;84324,0;134411,0;179887,0;178062,0;;;;
Eirunepé;1301407;49902,0;68986,0;67439,0;54477,0;59331,0;68387,0;90424,0;96128,0;114889,0;123079,0;135675,0;143202,0;155416,0;;;;
Envira;1301506;25246,0;26754,0;34192,0;41343,0;37686,0;37724,0;48978,0;51710,0;67657,0;69890,0;96315,0;105393,0;167845,0;;;;
Fonte Boa;1301605;49415,0;64452,0;111970,0;116342,0;108718,0;106013,0;110367,0;105026,0;122272,0;115896,0;125417,0;133966,0;138039,0;;;;
Guajará;1301654;21958,0;22992,0;38231,0;39149,0;41016,0;35973,0;44522,0;49957,0;65180,0;63798,0;62805,0;72164,0;92433,0;;;;
Humaitá;1301704;53358,0;53684,0;72663,0;76681,0;81835,0;108975,0;140163,0;147139,0;184636,0;225791,0;235864,0;288145,0;298375,0;;;;
Ipixuna;1301803;20681,0;22674,0;34433,0;36066,0;39188,0;44137,0;68666,0;57874,0;82885,0;85508,0;97950,0;88265,0;90541,0;;;;
Iranduba;1301852;61388,0;60810,0;78805,0;91351,0;98123,0;112689,0;139261,0;157342,0;166619,0;188132,0;328329,0;341340,0;343081,0;;;;
Itacoatiara;1301902;158097,0;167447,0;193262,0;216973,0;371755,0;433516,0;536568,0;685767,0;818950,0;920228,0;969587,0;1037234,0;1040442,0;;;;
Itamarati;1301951;20335,0;17189,0;27868,0;27734,0;28734,0;26930,0;31677,0;35606,0;35155,0;36914,0;52413,0;51032,0;49062,0;;;;
Itapiranga;1302009;10213,0;11037,0;15246,0;16663,0;18673,0;21191,0;29397,0;32286,0;35510,0;37900,0;56301,0;78258,0;90356,0;;;;
